filename,avg_r,avg_g,avg_b
31c5UOqokKL.jpg,248.275792,248.039512,248.08272
bgr_31c5UOqokKL.jpg,248.08272,248.039512,248.275792
enh_31c5UOqokKL.jpg,244.966072,244.622188,244.678876
gray_31c5UOqokKL.jpg,248.114912,248.114912,248.114912
31GcK11qXXL.jpg,226.5366,226.79402631578947,193.4837
bgr_31GcK11qXXL.jpg,193.4837,226.79402631578947,226.5366
enh_31GcK11qXXL.jpg,217.23013157894738,217.67543684210526,183.1130894736842
gray_31GcK11qXXL.jpg,222.91863157894736,222.91863157894736,222.91863157894736
31qx+8nMArL.jpg,244.23176694214877,242.90993719008264,241.77310330578513
bgr_31qx+8nMArL.jpg,241.77310330578513,242.90993719008264,244.23176694214877
enh_31qx+8nMArL.jpg,240.2425347107438,238.98879917355373,236.9424272727273
gray_31qx+8nMArL.jpg,243.17592066115702,243.17592066115702,243.17592066115702
411ftXBPMDL.jpg,250.305238,250.305238,250.305238
bgr_411ftXBPMDL.jpg,250.305238,250.305238,250.305238
enh_411ftXBPMDL.jpg,249.541499,249.541499,249.541499
gray_411ftXBPMDL.jpg,250.305238,250.305238,250.305238
4142wRYq4DL.jpg,187.990208,173.217708,172.064212
bgr_4142wRYq4DL.jpg,172.064212,173.217708,187.990208
enh_4142wRYq4DL.jpg,165.05952,148.282232,148.104588
gray_4142wRYq4DL.jpg,177.50082,177.50082,177.50082
415TziZ0IpS.jpg,208.408068,212.611612,219.083768
bgr_415TziZ0IpS.jpg,219.083768,212.611612,208.408068
enh_415TziZ0IpS.jpg,206.944984,214.561708,221.774676
gray_415TziZ0IpS.jpg,212.200844,212.200844,212.200844
418ah1Ws61L.jpg,241.25380933333332,242.84093066666668,242.47524355555555
bgr_418ah1Ws61L.jpg,242.47524355555555,242.84093066666668,241.25380933333332
enh_418ah1Ws61L.jpg,235.73489244444445,238.29965466666667,237.60422177777778
gray_418ah1Ws61L.jpg,242.38489022222223,242.38489022222223,242.38489022222223
4191RZ7CjBL.jpg,220.9177084548105,216.28525947521865,213.55556851311954
bgr_4191RZ7CjBL.jpg,213.55556851311954,216.28525947521865,220.9177084548105
enh_4191RZ7CjBL.jpg,204.22126530612246,199.52440233236152,197.8010670553936
gray_4191RZ7CjBL.jpg,217.35937026239068,217.35937026239068,217.35937026239068
41ABNkHK+2L.jpg,183.64552,185.235988,196.206196
bgr_41ABNkHK+2L.jpg,196.206196,185.235988,183.64552
enh_41ABNkHK+2L.jpg,172.926356,172.377664,181.426788
gray_41ABNkHK+2L.jpg,186.014112,186.014112,186.014112
41BRlyw5mjS.jpg,178.889584,185.8221,180.443584
bgr_41BRlyw5mjS.jpg,180.443584,185.8221,178.889584
enh_41BRlyw5mjS.jpg,171.477072,174.89258,170.9618
gray_41BRlyw5mjS.jpg,183.142968,183.142968,183.142968
41BTG-yiG6L.jpg,154.192572,154.868272,159.320048
bgr_41BTG-yiG6L.jpg,159.320048,154.868272,154.192572
enh_41BTG-yiG6L.jpg,137.479552,138.116436,142.758296
gray_41BTG-yiG6L.jpg,155.147764,155.147764,155.147764
bgr_310kcUKMHOL.jpg,246.71343142372115,247.654514316852,248.25087000911176
bgr_bgr_310kcUKMHOL.jpg,248.25087000911176,247.654514316852,246.71343142372115
enh_bgr_310kcUKMHOL.jpg,243.2130427015542,244.4406961669699,245.42613430525518
gray_bgr_310kcUKMHOL.jpg,247.43716223836103,247.43716223836103,247.43716223836103
bgr_311JBecauYL.jpg,251.885361,251.975836,247.011542
bgr_bgr_311JBecauYL.jpg,247.011542,251.975836,251.885361
enh_bgr_311JBecauYL.jpg,250.056802,250.213488,241.300214
gray_bgr_311JBecauYL.jpg,251.390942,251.390942,251.390942
bgr_31dpeWbzpwL.jpg,247.1801077326346,248.48974313351073,250.16086635407834
bgr_bgr_31dpeWbzpwL.jpg,250.16086635407834,248.48974313351073,247.1801077326346
enh_bgr_31dpeWbzpwL.jpg,242.15528886918506,244.24419065833408,247.1560721623763
gray_bgr_31dpeWbzpwL.jpg,248.28966440658087,248.28966440658087,248.28966440658087
bgr_31GBPN94J4L.jpg,246.6170835494995,245.92997646331787,246.07729148864746
bgr_bgr_31GBPN94J4L.jpg,246.07729148864746,245.92997646331787,246.6170835494995
enh_bgr_31GBPN94J4L.jpg,241.20123386383057,239.95743942260742,240.2197732925415
gray_bgr_31GBPN94J4L.jpg,246.11513233184814,246.11513233184814,246.11513233184814
bgr_31PSQ8vO6ML.jpg,223.41014444444446,223.34867777777777,220.95562222222222
bgr_bgr_31PSQ8vO6ML.jpg,220.95562222222222,223.34867777777777,223.41014444444446
enh_bgr_31PSQ8vO6ML.jpg,213.371,213.2211888888889,209.76978888888888
gray_bgr_31PSQ8vO6ML.jpg,223.10426666666666,223.10426666666666,223.10426666666666
bgr_31YazWY4FCL.jpg,213.60054,212.195168,204.882236
bgr_bgr_31YazWY4FCL.jpg,204.882236,212.195168,213.60054
enh_bgr_31YazWY4FCL.jpg,196.93708,203.9228,196.177736
gray_bgr_31YazWY4FCL.jpg,211.77456,211.77456,211.77456
bgr_31yizkAghlL.jpg,228.58595657348633,228.44326305389404,229.09014797210693
bgr_bgr_31yizkAghlL.jpg,229.09014797210693,228.44326305389404,228.58595657348633
enh_bgr_31yizkAghlL.jpg,215.88900184631348,215.82443141937256,215.90932083129883
gray_bgr_31yizkAghlL.jpg,228.5723009109497,228.5723009109497,228.5723009109497
bgr_41+IijyZEOL.jpg,251.69317061524333,251.53379577594123,251.2517469237833
bgr_bgr_41+IijyZEOL.jpg,251.2517469237833,251.53379577594123,251.69317061524333
enh_bgr_41+IijyZEOL.jpg,250.16342369146005,249.88287933884297,249.37887713498623
gray_bgr_41+IijyZEOL.jpg,251.54076290174473,251.54076290174473,251.54076290174473
bgr_41+ZUUFxKJL.jpg,174.35107612609863,173.64361190795898,174.10489654541016
bgr_bgr_41+ZUUFxKJL.jpg,174.10489654541016,173.64361190795898,174.35107612609863
enh_bgr_41+ZUUFxKJL.jpg,148.91144466400146,148.05946159362793,148.7031373977661
gray_bgr_41+ZUUFxKJL.jpg,173.96372413635254,173.96372413635254,173.96372413635254
bgr_410Fq9f0RmL.jpg,219.14528,218.546844,218.698096
bgr_bgr_410Fq9f0RmL.jpg,218.698096,218.546844,219.14528
enh_bgr_410Fq9f0RmL.jpg,209.307296,209.135076,209.532288
gray_bgr_410Fq9f0RmL.jpg,218.746968,218.746968,218.746968
bgr_411-eOTHH5L.jpg,221.786885,229.577493,226.56816
bgr_bgr_411-eOTHH5L.jpg,226.56816,229.577493,221.786885
enh_bgr_411-eOTHH5L.jpg,205.855071,218.390496,213.846802
gray_bgr_411-eOTHH5L.jpg,226.911827,226.911827,226.911827
bgr_411gYKKjGWL.jpg,218.85379314422607,237.91858768463135,247.04195022583008
bgr_bgr_411gYKKjGWL.jpg,247.04195022583008,237.91858768463135,218.85379314422607
enh_bgr_411gYKKjGWL.jpg,199.95033740997314,228.78753089904785,244.80249214172363
gray_bgr_411gYKKjGWL.jpg,233.26069831848145,233.26069831848145,233.26069831848145
bgr_411Q0L3qRGL.jpg,199.79085875706215,213.40722033898305,224.1427570621469
bgr_bgr_411Q0L3qRGL.jpg,224.1427570621469,213.40722033898305,199.79085875706215
enh_bgr_411Q0L3qRGL.jpg,185.67803389830507,206.27762711864406,222.98712994350282
